,raw_weight
ETF 31,0.19999924718285744
ETF 40,0.17999933891078096
ETF 53,0.1499994349594429
ETF 11,0.09999963668720202
ETF 8,0.09999962338406329
ETF 1 ,0.04999983822608247
ETF 34,0.04999981305694836
ETF 102,0.049999812101308404
ETF 5,0.049999809917790704
ETF 10,0.0499998072208097
ETF 47,0.01999992944067514
ETF 51,1.1238830235442058e-06
ETF 60,9.154931123445376e-07
ETF 65,2.902421838122327e-07
ETF 28,2.681212629725078e-07
ETF 55,1.9970487036336811e-07
ETF 7,1.293393243305422e-07
ETF 74,7.795846081277452e-08
ETF 30,5.9024954793259715e-08
ETF 86,5.7161957568648484e-08
ETF 19,5.301856884004274e-08
ETF 39,4.3360494509764576e-08
ETF 50,3.872282599657315e-08
ETF 48,3.60577887883961e-08
ETF 20,3.3020559914517806e-08
ETF 80,3.1492950338724095e-08
ETF 41,2.8489774486916142e-08
ETF 15,2.796196808077097e-08
ETF 105,2.5731142256871853e-08
ETF 84,2.426339938866433e-08
ETF 91,2.2624056978219216e-08
ETF 6,2.2397044716528635e-08
ETF 32,2.1472241287683166e-08
ETF 56,2.1334901880577467e-08
ETF 33,2.0896887125036412e-08
ETF 104,1.6475847525702137e-08
ETF 24,1.3887785849767053e-08
ETF 4,1.2885750650168597e-08
ETF 18,1.0652004849207964e-08
ETF 36,8.977694292349371e-09
ETF 103,7.584582537158056e-09
ETF 59,7.143911521431305e-09
ETF 45,7.124852227867401e-09
ETF 77,6.4236444957689035e-09
ETF 93,5.204365059127064e-09
ETF 82,5.109501946154506e-09
ETF 85,5.10155182161093e-09
ETF 29,4.757297467178129e-09
ETF 35,4.710805224361902e-09
ETF 42,4.45230961585924e-09
ETF 49,4.284305725539662e-09
ETF 66,3.0374089110439123e-09
ETF 99,2.758432346415658e-09
ETF 38,2.570618687547893e-09
ETF 69,1.1915588001947936e-09
ETF 96,1.1604605952413142e-09
ETF 13,8.186940504368222e-10
ETF 79,7.61317024238544e-10
ETF 97,6.358202635133607e-11
ETF 37,0.0
ETF 27,0.0
ETF 21,0.0
ETF 22,0.0
ETF 26,0.0
ETF 12,0.0
ETF 17,0.0
ETF 16,0.0
ETF 14,0.0
ETF 9,0.0
ETF 2,0.0
ETF 3,0.0
ETF 23,0.0
ETF 25,0.0
ETF 73,0.0
ETF 72,0.0
ETF 71,0.0
ETF 70,0.0
ETF 68,0.0
ETF 67,0.0
ETF 63,0.0
ETF 64,0.0
ETF 58,0.0
ETF 61,0.0
ETF 62,0.0
ETF 44,0.0
ETF 46,0.0
ETF 52,0.0
ETF 54,0.0
ETF 57,0.0
ETF 43,0.0
ETF 88,0.0
ETF 87,0.0
ETF 83,0.0
ETF 76,0.0
ETF 75,0.0
ETF 78,0.0
ETF 81,0.0
ETF 89,0.0
ETF 95,0.0
ETF 90,0.0
ETF 92,0.0
ETF 94,0.0
ETF 101,0.0
ETF 98,0.0
ETF 100,0.0
