,GMV,MaxSharpe
Unnamed: 1,8.396093863317951e-19,1.9971177994946505e-09
Unnamed: 2,7.233484860064074e-19,1.178884001373059e-10
Unnamed: 3,0.0,6.028455886283622e-10
Unnamed: 4,6.815802229475713e-20,1.9120750606753953e-10
Unnamed: 5,8.14066758832837e-19,1.7196398498157707e-10
Unnamed: 6,0.0,2.222394400988985e-09
Unnamed: 7,0.0,4.81493169421907e-11
Unnamed: 8,0.0,0.00031406008768778337
Unnamed: 9,1.997047565671895e-18,7.763441136362479e-09
Unnamed: 10,0.0,3.859619142937321e-10
Unnamed: 11,0.0,2.7852871132429074e-10
Unnamed: 12,3.808562570877882e-19,6.397040092155377e-09
Unnamed: 13,0.0,4.4345952017065824e-10
Unnamed: 14,0.0,1.7275629984194348e-10
Unnamed: 15,0.07047208491908169,1.7962613739390004e-09
Unnamed: 16,6.215118733060664e-19,1.738643930407432e-09
Unnamed: 17,8.053141368205501e-19,1.0893368839507189e-10
Unnamed: 18,3.709625431989183e-19,1.599967639284323e-10
Unnamed: 19,2.7682801049087335e-18,1.8526555334444186e-09
Unnamed: 20,0.0,1.3997000978176548e-10
Unnamed: 21,0.09249853555775672,0.003910566982900571
Unnamed: 22,4.0908431365495477e-19,1.830157558759259e-10
Unnamed: 23,0.0,2.7523134042597707e-09
Unnamed: 24,0.0,1.9180322329302065e-10
Unnamed: 25,0.0,3.2304811592620826e-10
Unnamed: 26,0.0,2.5593904651082753e-10
Unnamed: 27,1.1500111383981018e-18,1.466047516303299e-10
Unnamed: 28,0.0,5.249890172146232e-09
Unnamed: 29,0.0,2.0194620216272544e-09
Unnamed: 30,0.0,6.086251512343123e-10
Unnamed: 31,3.305270995137636e-19,1.4537491165870815e-10
Unnamed: 32,0.0,7.471452141020759e-10
Unnamed: 33,0.0,2.2131803128218286e-09
Unnamed: 34,2.9413267575079933e-20,0.00015712766586141377
Unnamed: 35,0.028451148233248062,2.1412024657989893e-10
Unnamed: 36,6.458429201801887e-20,4.4937988292705184e-10
Unnamed: 37,0.0,4.344123624529295e-10
Unnamed: 38,7.762536605124375e-20,1.5389416134093605e-10
Unnamed: 39,2.2557590712718987e-19,5.130314156156728e-10
Unnamed: 40,2.4285108782405615e-19,9.561622730655805e-11
Unnamed: 41,0.0,8.515234872922854e-11
Unnamed: 42,0.0,8.103896716142055e-10
Unnamed: 43,0.06726850252611428,1.245596102768764e-09
Unnamed: 44,0.0,1.949567544019995e-10
Unnamed: 45,0.0,1.8414148272544858e-09
Unnamed: 46,0.1476171440020458,0.2992265696984093
Unnamed: 47,3.0408455952753167e-19,2.9032654789999724e-10
Unnamed: 48,0.1443149065569284,0.09594069411809508
Unnamed: 49,2.1378369172236881e-19,1.8714856896811437e-10
Unnamed: 50,0.0,1.1880937186369648e-10
Unnamed: 51,3.649170675727816e-19,1.728556279925232e-10
Unnamed: 52,0.0,9.969294891878826e-11
Unnamed: 53,0.0,0.00013872385961347049
Unnamed: 54,3.628695888318963e-21,7.759970705825264e-11
Unnamed: 55,2.6178196453065555e-19,7.181053814524953e-10
Unnamed: 56,2.390666261334564e-19,4.157477680101964e-10
Unnamed: 57,0.00011210069845478702,4.252485661534405e-11
Unnamed: 58,1.0892008283374613e-19,2.8359354376514092e-09
Unnamed: 59,0.0,1.3668247343759706e-10
Unnamed: 60,0.0,2.3047820491380882e-10
Unnamed: 61,0.0,1.3164132407738206e-09
Unnamed: 62,0.0,2.2737891995987744e-09
Unnamed: 63,5.77486090257612e-19,1.4224786540771526e-10
Unnamed: 64,0.153796145267477,0.29999999931502397
Unnamed: 65,0.11555102968409824,2.8428208891064708e-09
Unnamed: 66,9.567238795095886e-20,7.497009355104658e-11
Unnamed: 67,8.184157386700254e-19,8.15307928204755e-09
Unnamed: 68,2.141707086222295e-19,6.135402925208201e-12
Unnamed: 69,6.186548557532557e-20,2.2307184771242566e-10
Unnamed: 70,0.0,6.506366606554202e-10
Unnamed: 71,0.0,1.918928191488047e-10
Unnamed: 72,0.1536334508265188,0.2999999995708915
Unnamed: 73,0.0,8.111920649996224e-10
Unnamed: 74,0.0,6.117410741148836e-09
Unnamed: 75,0.0,1.5139876685306634e-09
Unnamed: 76,4.044987757840027e-19,2.8422136546350425e-10
Unnamed: 77,2.7123820038214147e-19,6.506353858559694e-11
Unnamed: 78,0.00036069393007521437,4.15619509878688e-11
Unnamed: 79,4.718447042908574e-19,3.0792387703857623e-10
Unnamed: 80,0.0,1.4747843100390805e-09
Unnamed: 81,0.0,6.495152792235491e-10
Unnamed: 82,0.0,1.7542650558796908e-10
Unnamed: 83,0.0,1.8488070937689844e-09
Unnamed: 84,0.0,6.1957533389156165e-09
Unnamed: 85,0.0,5.65598744177973e-10
Unnamed: 86,0.0,6.534202338045897e-11
Unnamed: 87,4.124803759363126e-19,3.1750966460788054e-10
Unnamed: 88,2.577384240433009e-19,2.770848181475516e-09
Unnamed: 89,0.0,2.3067127853968597e-10
Unnamed: 90,0.02592425779820116,0.000312336823485657
Unnamed: 91,2.582197890776652e-19,1.6732067856026944e-09
Unnamed: 92,0.0,1.8254619349772963e-12
Unnamed: 93,7.784378400436069e-20,5.457023454246943e-10
Unnamed: 94,9.452100760721842e-20,1.428180712208614e-10
Unnamed: 95,5.46886040907667e-19,5.43101059454694e-10
Unnamed: 96,0.0,2.934748811260659e-10
Unnamed: 97,0.0,4.065852066555363e-09
Unnamed: 98,0.0,2.948562413384259e-10
Unnamed: 99,1.3092602672066533e-20,1.1078875037921768e-10
Unnamed: 100,0.0,1.1752452803525658e-09
Unnamed: 101,9.879415607358674e-19,2.2149023990353612e-09
Unnamed: 102,1.4277686322195232e-18,4.680640982177451e-10
Unnamed: 103,0.0,4.90430744202231e-10
Unnamed: 104,0.0,2.1232307172386973e-10
Unnamed: 105,1.6484815086426154e-19,6.050317218616299e-11
